engine,scenario_id,route,decision_time_us,latency_ms,cost_usd,success,reward,agreement_with_rule,ctx_network_latency_ms,ctx_connectivity,ctx_cpu_available,ctx_priority,ctx_batch_size,ctx_cost_budget_usd,ctx_model_size_mb
DecisionTree,27,cloud,42.611,112.49,0.0034,True,-17.234,True,78.27939407956687,1,18.64080082572967,3,4,1.0,9.4
DecisionTree,28,cloud,42.552,261.387,0.0136,True,-44.704,True,149.18343779933608,1,7.092114899898854,4,16,0.5,15.1
DecisionTree,29,cloud,42.889,176.965,0.0068,True,-31.665,True,95.73638907134395,1,10.5694514054305,4,8,2.0,15.1
DecisionTree,30,cloud,43.194,144.639,0.0136,True,-27.937,True,76.54434218159608,1,14.425372411349125,3,16,0.5,9.4
DecisionTree,31,cloud,42.501,170.587,0.0136,True,-35.325,True,84.70022194635774,1,23.980825305347377,3,16,5.0,22.5
DecisionTree,32,hybrid,42.804,110.267,0.002,True,-11.082,True,167.4970759081333,1,21.688856069900872,3,4,1.0,15.1
DecisionTree,33,cloud,44.309,244.324,0.0034,True,-23.835,True,134.30038171316363,1,15.591309423891202,3,4,1.0,22.5
DecisionTree,34,cloud,43.733,211.958,0.0034,True,-15.06,False,94.20501801688008,1,8.898215537866665,3,4,0.5,15.1
DecisionTree,35,cloud,42.164,126.143,0.0136,True,-35.352,True,75.6912631236416,1,18.06004039443563,3,16,0.5,22.5
DecisionTree,36,cloud,57.653,137.321,0.0068,True,-25.409,True,97.03263596831195,1,15.938388335873238,3,8,2.0,15.1
DecisionTree,37,cloud,44.903,170.405,0.0068,True,-26.695,True,59.431861729030146,1,12.05613135593278,4,8,0.5,9.4
DecisionTree,38,cloud,44.317,122.319,0.0136,True,-27.347,True,64.46748700204347,1,3.505509501831314,3,16,2.0,15.1
DecisionTree,39,cloud,43.704,181.995,0.0068,True,-28.518,True,141.08825917437036,1,17.40377621138661,3,8,1.0,22.5
DecisionTree,40,cloud,42.982,192.649,0.0136,True,-34.719,True,119.40047676800634,1,24.540466553496003,3,16,2.0,15.1
DecisionTree,41,cloud,43.347,171.519,0.0136,True,-37.965,True,93.78220842823045,1,20.96994423746313,4,16,0.5,15.1
DecisionTree,42,hybrid,44.063,100.886,0.002,True,-10.309,True,154.2950939355955,1,9.370225325202837,3,4,5.0,15.1
DecisionTree,43,hybrid,42.942,96.383,0.002,True,-8.244,True,137.84091238263304,1,3.4459419990140967,2,4,0.5,9.4
DecisionTree,44,cloud,44.381,216.01,0.0068,True,-34.434,True,142.84554361107035,1,5.602224937237888,3,8,0.5,15.1
DecisionTree,45,cloud,42.652,207.334,0.0034,True,-23.955,True,136.71907312381768,1,10.831371926788673,4,4,1.0,9.4
DecisionTree,46,cloud,43.891,163.685,0.0136,True,-37.581,True,77.52006747900738,1,3.625176702099882,4,16,2.0,9.4
DecisionTree,47,cloud,43.167,139.299,0.0068,True,-20.018,True,84.2383690439485,1,3.365107551889823,3,8,2.0,9.4
DecisionTree,48,cloud,42.448,292.375,0.0136,True,-40.592,True,191.6341762543966,1,16.060311123489065,2,16,2.0,15.1
DecisionTree,49,cloud,42.614,243.921,0.0136,True,-38.437,True,144.95098313739402,1,19.59970285257717,2,16,1.0,15.1
DecisionTree,50,cloud,42.376,104.478,0.0034,True,-11.516,True,58.744537797041545,1,7.880450807073341,4,4,2.0,9.4
DecisionTree,51,cloud,42.414,218.838,0.0068,True,-30.719,True,134.23853571979583,1,9.066762891122211,3,8,5.0,22.5
DecisionTree,52,cloud,42.71,187.961,0.0136,True,-35.268,True,118.63403120874857,1,20.85162529669239,3,16,1.0,9.4
DecisionTree,53,cloud,42.562,256.077,0.0068,True,-32.062,True,144.2024891196246,1,6.38315201302504,4,8,0.5,22.5
DecisionTree,54,cloud,55.456,126.916,0.0068,True,-17.42,True,75.88591436021846,1,9.578796567033713,3,8,0.5,9.4
DecisionTree,55,cloud,45.446,208.494,0.0068,True,-26.064,True,130.01233251816322,1,21.6958549817775,2,8,5.0,15.1
DecisionTree,56,cloud,43.702,230.986,0.0136,True,-34.752,True,130.8471440857015,1,24.36393247071736,3,16,0.5,9.4
DecisionTree,57,cloud,43.754,128.288,0.0068,True,-18.782,True,71.28385014747373,1,11.562659899439057,2,8,1.0,9.4
DecisionTree,58,cloud,44.582,217.909,0.0034,True,-33.451,True,184.83682791841744,1,9.496420591366565,4,4,1.0,22.5
DecisionTree,59,cloud,44.946,214.584,0.0068,True,-34.339,True,144.47262623472008,1,21.64079910018239,3,8,1.0,22.5
DecisionTree,60,cloud,46.134,237.412,0.0034,True,-18.407,True,127.42855701168564,1,6.951708353480606,2,4,0.5,22.5
DecisionTree,61,cloud,44.651,266.244,0.0068,True,-27.466,True,150.15541115662927,1,18.49643612023373,2,8,2.0,15.1
DecisionTree,62,cloud,44.594,126.28,0.0034,True,-16.762,False,82.42870218917587,1,6.392973357356496,2,4,2.0,15.1
DecisionTree,63,cloud,43.777,138.159,0.0068,True,-20.13,True,66.10902757269594,1,21.41785725940564,3,8,0.5,15.1
DecisionTree,64,cloud,42.765,210.914,0.0034,True,-17.182,True,121.15714875180218,1,13.972486769114804,3,4,5.0,22.5
DecisionTree,65,cloud,42.804,176.241,0.0068,True,-27.265,True,101.7678388385655,1,4.518766873620559,3,8,2.0,22.5
DecisionTree,66,cloud,43.231,172.524,0.0068,True,-24.864,True,83.90718791821024,1,10.150044556834738,3,8,5.0,15.1
DecisionTree,67,cloud,42.772,183.342,0.0136,True,-36.748,True,97.05236126863575,1,7.322685165258564,3,16,2.0,15.1
DecisionTree,68,cloud,42.997,212.094,0.0068,True,-28.32,True,174.74317863945635,1,15.976991850106476,3,8,5.0,15.1
DecisionTree,69,cloud,44.447,205.086,0.0068,True,-27.269,True,99.3460251044252,1,5.592613794213236,3,8,1.0,22.5
DecisionTree,70,cloud,43.08,184.548,0.0136,True,-36.112,True,144.03152160515288,1,8.15444373562169,2,16,2.0,15.1
DecisionTree,71,cloud,42.672,198.147,0.0136,True,-36.888,True,136.1582638227164,1,16.930222159828148,3,16,5.0,15.1
DecisionTree,72,cloud,42.821,155.978,0.0136,True,-33.415,True,64.25091364887537,1,19.877389150140207,3,16,5.0,15.1
DecisionTree,73,cloud,56.618,201.814,0.0034,True,-24.165,True,147.23380431210114,1,4.3206906043261135,2,4,2.0,22.5
DecisionTree,74,cloud,43.605,258.679,0.0136,True,-44.646,True,155.25379358102458,1,5.873182142885782,4,16,5.0,15.1
DecisionTree,75,cloud,43.345,158.656,0.0034,True,-17.516,False,100.81198105039522,1,3.82490262880878,3,4,2.0,9.4
DecisionTree,76,cloud,42.38,266.896,0.0136,True,-43.258,True,166.96554073232136,1,20.396384939976077,3,16,0.5,22.5
DecisionTree,77,hybrid,43.107,98.471,0.002,True,-11.007,True,153.8650820266298,1,14.857146895800934,3,4,2.0,9.4
DecisionTree,78,cloud,43.198,287.45,0.0136,True,-41.606,True,191.46336629628826,1,7.5401603380874205,3,16,0.5,22.5
DecisionTree,79,cloud,43.456,179.116,0.0034,True,-19.966,False,112.55585854332402,1,14.4796179010353,2,4,0.5,15.1
DecisionTree,80,cloud,42.759,224.961,0.0136,True,-47.855,True,190.85437739588582,1,3.9785396164333817,3,16,5.0,22.5
DecisionTree,81,cloud,42.864,190.329,0.0068,True,-29.098,True,149.457704284712,1,10.558278483473337,3,8,5.0,15.1
DecisionTree,82,cloud,42.777,293.36,0.0034,True,-26.694,True,175.84410971042013,1,3.8077401232655497,4,4,2.0,15.1
DecisionTree,83,cloud,43.095,237.511,0.0136,True,-45.8,True,175.47758753034782,1,13.254574242026731,4,16,2.0,9.4
DecisionTree,84,cloud,42.884,168.674,0.0136,True,-40.64,True,137.2614805260908,1,20.928672321430522,3,16,5.0,22.5
DecisionTree,85,cloud,43.049,182.231,0.0068,True,-26.794,True,63.607745825927445,1,14.211951013192394,4,8,2.0,22.5
DecisionTree,86,hybrid,44.013,70.222,0.002,True,-9.322,False,100.94138908395092,1,6.985537944119384,3,4,5.0,22.5
DecisionTree,87,cloud,42.428,104.862,0.0068,True,-23.384,True,65.95463744421056,1,16.405810546503616,3,8,1.0,15.1
DecisionTree,88,cloud,42.712,204.374,0.0068,True,-27.694,True,126.20514540614654,1,14.584687209000306,4,8,1.0,22.5
